month,rows,cameras,observed_events,fitted_events,residual,pearson,lag1_acf
2024-03,27,27,0,1.35228369021581,-1.35228369021581,-1.1430094062169232,0.14607775590554212
2024-04,53,35,3,3.937503521655526,-0.9375035216555259,-0.4604086663845791,NA
2024-05,58,27,7,8.266724284821755,-1.2667242848217555,-0.41302279328974517,NA
2024-06,61,49,14,14.596706486377856,-0.5967064863778564,-0.14217611566881103,NA
2024-07,52,26,10,11.026940617314978,-1.0269406173149775,-0.2897510229629951,NA
2024-08,52,52,9,9.296365418272474,-0.2963654182724742,-0.09185439787671529,NA
2024-09,53,52,3,3.9064590108301833,-0.9064590108301833,-0.4448121306311035,NA
