mesh_variant,note,model,family,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,moran_p,pearson_disp,pearson_disp_camera,ppc_pit_ks,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,mesh_offset_inner_m,mesh_offset_outer_m,delta_waic,delta_dic
current,current final mesh,nb_spatial_month,nbinomial,271.62151954794854,20.329065884429383,269.45228781696153,16.415836825885354,-142.68253719785753,0,TRUE,TRUE,TRUE,TRUE,0.696,0.5763962071077103,0.6033476899192222,0.24615496413217858,1.9093631760406076,618.2124423657806,0.8194645895238546,2493,150,300,1500,1800,6000,0.04864543834651158,0.03758053742944867
finer,finer SPDE mesh,nb_spatial_month,nbinomial,271.7102924844521,20.584190835965387,269.403642378615,16.506931269560948,-142.74593295202,0,TRUE,TRUE,TRUE,TRUE,0.708,0.570863693222219,0.5925150316063212,0.7541616923170569,1.9094841176811157,594.6992869621515,0.8153224004218979,4221,105,210,1050,1440,4800,0,0.12635347393302254
coarser,coarser SPDE mesh,nb_spatial_month,nbinomial,271.5839390105191,19.582525830400215,269.54691862064345,15.892301136430392,-142.6619845930907,0,TRUE,TRUE,TRUE,TRUE,0.786,0.58463485276887,0.6190218175272735,0.4319237424467762,1.8403889146612353,592.6305973913472,0.87980981513876,1470,217.5,435,2175,2160,7200,0.1432762420284348,0
