bin_days,lag,n_pairs,n_cameras,correlation,p_value,mean_days_between,median_days_between
7,1,106,52,-0.15266614699903805,0.1182101099298364,7,7
7,2,111,58,-0.16432550729599057,0.08481357530588861,14,14
7,3,114,51,-0.14661449927364956,0.11956860812415884,21,21
7,4,117,50,-0.10317856811031481,0.2682845058822945,28,28
7,5,48,32,-0.20387262439997939,0.16456359725125724,35,35
14,1,153,58,-0.13572548036865809,0.09436399273638081,14,14
14,2,136,59,-0.22275671761911744,0.009143917784632605,28,28
14,3,76,58,-0.08384415461393346,0.4714684891778571,42,42
14,4,18,18,0.2695296152133542,0.2794309373320397,56,56
