model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,933.780298141927,45.64732812898069,933.666737383153,38.884223146964366,-496.29190502802703,0,0.062149910998290155,3.2497419134943177,4144.434415565898,0.9367596965989541,7200,0,0
nb_spatial_month,nbinomial,TRUE,NA,938.9508865540232,44.70259598293262,937.2692569008375,36.929727042369024,-495.845477443332,0,NA,2.2190477142567184,4169.180035836111,0.9304752307374246,7200,3.6025195176845273,5.170588412096208
poisson_spatial_month,poisson,TRUE,NA,968.4025792891941,50.68617972091192,997.230944778608,67.71494403030744,-518.6929456766346,0.3488372093023256,NA,NA,4189.652114638555,0.9564028129077539,7200,63.564207395455014,34.62228114726713
nb_nonspatial_month,nbinomial,FALSE,NA,1039.6890889442961,3.8834541967009955,1042.518959142511,6.314875647730391,-524.9766853671778,0,NA,0.6566514507948891,NA,NA,NA,108.85222175935803,105.90879080236914
poisson_nonspatial_month,poisson,FALSE,NA,1317.9455852299704,2.9612491401514944,1327.0779760949154,11.868144553947518,-664.3777316161335,0,NA,NA,NA,NA,NA,393.4112387117624,384.16528708804344
