model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,prior_variant,intercept_prior_mean,intercept_prior_sd,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,spatial_range_prior_range0,spatial_range_prior_prob_below,zi_prior_center,zi_prior_logit_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,delta_waic,delta_dic
prior_wider_spatial_range,zeroinflatednbinomial1,TRUE,wider spatial-range prior median,933.5093759033532,45.46000978957727,933.4066745929135,38.7473591889477,-496.5236543313564,0,0.06254101960133085,3.2669405632178274,4646.632774401141,0.9627259998870509,7200,wider_spatial_range,-2.009746400232683,2.5,2.5,0.05,10000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0,0
prior_final_current,zeroinflatednbinomial1,TRUE,"final selected ZINB priors: wider spatial SD, current range, skeptical zero-inflation, broad log-size prior",933.7806021869571,45.64625234584446,933.6669533777787,38.88330531296224,-496.2919387440308,0,0.06214576932032133,3.2497329761469325,4144.5488751399425,0.9367856304813242,7200,final_current,-2.009746400232683,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.260278784865136,0.2712262836039372
prior_extra_wide_spatial_sd,zeroinflatednbinomial1,TRUE,"extra-wide spatial SD prior, checks robustness beyond final prior",933.7803058431276,45.64612274049364,933.6673097043281,38.88373805491432,-496.2917489257925,0,0.06214161911116076,3.249522141838031,4144.497735828413,0.9367651435834683,7200,extra_wide_spatial_sd,-2.009746400232683,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.2606351114145582,0.2709299397744189
prior_wider_spatial_sd_1p5,zeroinflatednbinomial1,TRUE,wider spatial SD prior for comparison,933.9215716182141,45.483300939214246,933.8081492173924,38.75556223451983,-496.5507760448078,0,0.06304657699890363,3.2689925639466817,4035.1587329691465,0.9190551050422198,7200,wider_spatial_sd_1p5,-2.009746400232683,2.5,1.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.4014746244788512,0.4121957148608999
prior_shorter_spatial_range,zeroinflatednbinomial1,TRUE,shorter spatial-range prior median,934.0311686654907,45.85664316094483,933.8228321844373,38.97331637395302,-496.47284023226786,0,0.06258160802615552,3.2692981532113454,3826.454560404157,0.9221512245076026,7200,shorter_spatial_range,-2.009746400232683,2.5,2.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.4161575915237563,0.5217927621374656
prior_tighter_original_like,zeroinflatednbinomial1,TRUE,tighter original-like spatial SD and broad intercept priors,934.371294128068,45.221841263954616,934.0239132877201,38.329093597802235,-499.4837521138781,0,0.08318586525820668,3.5915043465983634,3863.7766196769408,0.8864466449912233,7200,tighter_original_like,0,10,0.85,0.05,5000,0.5,0.2689414213699951,2.23606797749979,0.6931471805599453,2,0.6172386948065878,0.8619182247148274
