parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
size for nbinomial_1 zero-inflated observations,3.2618995586506814,1.357609315551724,1.2806878902175127,3.036255055307645,6.529057923561716,2.6160414876513602
zero-probability parameter for zero-inflated nbinomial_1,0.0623196514434863,0.04565367026071908,0.007789120829674523,0.050605341967027755,0.1782624257275263,0.02384623373026741
Range for spatial,4143.071543689561,1472.7600843974071,1937.9871381787864,3916.51814031931,7657.250660407496,3499.7410101642436
Stdev for spatial,0.9363563740557168,0.1466443144716997,0.6803718808110746,0.9252631003677468,1.2562671761018551,0.90377085743091
