model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,temporal_structure,bin_days,n_time_bins,n_fixed_temporal_terms,reference_temporal_level,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,row_pit_ks_p,camera_pit_ks_p,pearson_dispersion_row,pearson_dispersion_camera,moran_I,moran_p,deployment_order_lag1_r,deployment_order_lag1_p,deployment_order_lag1_n,deployment_order_lag1_median_days,regular_7day_lag1_r,regular_7day_lag1_p,regular_7day_lag1_n,regular_14day_lag1_r,regular_14day_lag1_p,regular_14day_lag1_n,delta_waic,delta_waic_vs_month
zinb_spatial_month,zeroinflatednbinomial1,TRUE,current final model: calendar camera-month fixed effects,933.8002604983105,45.69931660766656,933.657886835911,38.904267466013984,-496.2996760091803,0,0.0623196514434863,3.2618995586506814,4143.071543689561,0.9363563740557168,NA,month_fixed_effects,NA,3,2,2024-09,TRUE,TRUE,TRUE,TRUE,0.09048802453907495,3.421469803386312e-4,0.5832789694554564,0.23565596602396735,-0.03369069722921732,0.336,-0.1795207435477844,0.00239181502779877,284,12.682291666666668,-0.15266614699903805,0.1182101099298364,106,-0.13572548036865809,0.09436399273638081,153,0,0
zinb_spatial_biweekly_timebin,zeroinflatednbinomial1,TRUE,"sensitivity model: deployment-start 14-day time-bin fixed effects, no month dummies",937.0266484795418,47.444267720023845,936.2351558196037,39.785173764969166,-499.03069174523415,0,0.0596014909887738,3.1367404091115043,4136.543894248364,0.9405090124271116,7200,time_bin_fixed_effects,14,5,4,2024-08-29,TRUE,TRUE,TRUE,TRUE,0.07840017122326427,2.834992080380516e-4,0.567907619787938,0.2239262020845281,-0.03460024230680072,0.338,-0.17396917249098837,0.0032682551988505396,284,12.682291666666668,-0.14790766647000933,0.13025880272661583,106,-0.13150113973626687,0.10517124009786509,153,2.577268983692761,2.577268983692761
zinb_spatial_weekly_timebin,zeroinflatednbinomial1,TRUE,"sensitivity model: deployment-start 7-day time-bin fixed effects, no month dummies",942.7034644471772,50.516575336810206,940.841133359057,41.388726935842975,-502.776574413808,0,0.050610781199951896,2.7951665355205235,4196.459988260651,0.9414045108117499,7200,time_bin_fixed_effects,7,10,9,2024-08-29,TRUE,TRUE,TRUE,TRUE,0.06386092989950688,5.921907958010841e-4,0.5336523555500567,0.2312556917285258,-0.03320308205505245,0.414,-0.16647577520984858,0.004911515132717848,284,12.682291666666668,-0.12498964099063646,0.2017428863428112,106,-0.13259038226357306,0.10229569765323296,153,7.183246523146067,7.183246523146067
