model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,delta_waic
final_current_mesh,zeroinflatednbinomial1,TRUE,current,933.8021798874952,45.71155217194473,933.6536152510096,38.909442007043936,-496.30129718731854,0,0.0623432180241026,3.2645818033385483,4142.985415470468,0.9364207347925081,7200,350,700,5000,0.26521553859845426
final_finer_mesh,zeroinflatednbinomial1,TRUE,finer,933.8075742923022,45.771978882934036,933.5167295571991,38.85385162695843,-496.23002391376605,0,0.0626978167672885,3.282862770110389,4043.1105729163123,0.9448229251119123,12977,244.99999999999997,489.99999999999994,3500,0.128329844788027
final_coarser_mesh,zeroinflatednbinomial1,TRUE,coarser,933.7171970867765,45.89156139623003,933.3883997124111,38.92092886804247,-496.37042226974404,0,0.06252610049907045,3.280862785806512,4226.096815096941,0.925663303683446,3914,507.5,1015,7250,0
