stat,observed,sim_median,sim_q025,sim_q975,pass,method
total_events,46,53,30.225,85.55000000000001,TRUE,joint_posterior
zero_fraction,0.5471698113207547,0.5094339622641509,0.3584905660377358,0.6750000000000002,TRUE,joint_posterior
max_camera_count,5,6,3,14.775000000000006,TRUE,joint_posterior
