model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,1166.6716555198982,51.13445665205063,1162.721338168376,41.38068183739384,-621.0084293925249,0,0.032164268632553165,1.9135535900400558,3052.4487877661595,1.1591486330784067,7200,0,0
nb_spatial_month,nbinomial,TRUE,NA,1166.7428476463224,50.912850712891895,1162.971486728921,41.357111625254205,-619.5999984976988,0,NA,1.7324596771739025,3071.510153867419,1.1616906825059603,7200,0.2501485605450853,0.0711921264241937
poisson_spatial_month,poisson,TRUE,NA,1256.6789572871883,55.64816773096436,1303.1582768073595,87.99525718300632,-674.8651335985776,0.3469387755102041,NA,NA,2913.402497666346,1.1858615197653406,7200,140.43693863898352,90.00730176729007
