month,model_rows,source_deployments,cameras,events,effort_days,rate_per_100
2024-08,114,114,60,173,1585.5471064814815,10.911060244933855
2024-09,166,166,60,251,1720.3260069444445,14.590257834084216
2024-10,64,64,59,55,268.14940972222223,20.510953224538092
