parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
size for nbinomial_1 zero-inflated observations,3.28825711774365,1.3597768448094802,1.2984782875144403,3.0637631763533437,6.556740078226129,2.645806532434853
zero-probability parameter for zero-inflated nbinomial_1,0.06306495219651163,0.044926242765477326,0.008313186552892118,0.0518608339910426,0.17614157362838098,0.025550096604796322
Range for spatial,4140.482845434277,1475.4790149171681,1931.163602469824,3913.566119988859,7660.575134774278,3496.090761318934
Stdev for spatial,0.9362462190601534,0.146702317710201,0.6792809614339357,0.9254475468290236,1.2553845295362314,0.9050463764177208
