model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,933.8195392792052,45.753982804206544,933.6714180008295,38.94370875916713,-496.4029993040841,0,0.06306680476046919,3.2882136455049573,4140.562243655128,0.9362592965023083,7200,0,0
nb_spatial_month,nbinomial,TRUE,NA,938.9655750512271,44.681535331695386,937.3233863533237,36.94621367620138,-495.94499755648485,0,NA,2.2223135070965934,4167.319011001991,0.9297310325923173,7200,3.6519683524942366,5.146035772021946
poisson_spatial_month,poisson,TRUE,NA,968.3986594487828,50.68423302404699,997.1878147190793,67.68344470262105,-518.7161455577082,0.3488372093023256,NA,NA,4188.4041236995545,0.956335265959311,7200,63.51639671824978,34.579120169577664
nb_nonspatial_month,nbinomial,FALSE,NA,1039.7045372457144,3.8777605581767602,1042.5403993811597,6.315716658677431,-525.0880116474057,0,NA,0.6565432980580208,NA,NA,NA,108.86898138033018,105.88499796650922
poisson_nonspatial_month,poisson,FALSE,NA,1317.953873531081,2.959220995256601,1327.1003607015948,11.879443994234496,-664.5164223938218,0,NA,NA,NA,NA,NA,393.42894270076533,384.13433425187577
