model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,prior_variant,intercept_prior_mean,intercept_prior_sd,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,spatial_range_prior_range0,spatial_range_prior_prob_below,zi_prior_center,zi_prior_logit_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,delta_waic,delta_dic
prior_wider_spatial_range,zeroinflatednbinomial1,TRUE,wider spatial-range prior median,933.4947202670563,45.49284304302148,933.4280750148632,38.80515145937945,-496.6218254163732,0,0.0629753525282261,3.2885639215654883,4640.594778278524,0.9623929465454278,7200,wider_spatial_range,-2.009746400232683,2.5,2.5,0.05,10000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0,0
prior_final_current,zeroinflatednbinomial1,TRUE,"final selected ZINB priors: wider spatial SD, current range, skeptical zero-inflation, broad log-size prior",933.8195234641391,45.75457830653636,933.6714019403971,38.9442241123542,-496.4029692725381,0,0.06306277945545528,3.2882513486647533,4140.516956908747,0.9362557314083901,7200,final_current,-2.009746400232683,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.2433269255338928,0.32480319708281513
prior_extra_wide_spatial_sd,zeroinflatednbinomial1,TRUE,"extra-wide spatial SD prior, checks robustness beyond final prior",933.8197945464767,45.754350617354135,933.671615610697,38.94398231391373,-496.4029600075697,0,0.06306300337219341,3.2882144247781877,4140.510307820065,0.9362479224595451,7200,extra_wide_spatial_sd,-2.009746400232683,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.2435405958337924,0.3250742794203916
prior_wider_spatial_sd_1p5,zeroinflatednbinomial1,TRUE,wider spatial SD prior for comparison,933.8962641333453,45.48794703920635,933.838924173271,38.80679528615315,-496.6433765777745,0,0.06336033893750555,3.283506332637204,4032.9015008815895,0.9189215075546585,7200,wider_spatial_sd_1p5,-2.009746400232683,2.5,1.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.4108491584078138,0.4015438662889892
prior_shorter_spatial_range,zeroinflatednbinomial1,TRUE,shorter spatial-range prior median,934.0056454225942,45.86063729247337,933.8520635474728,39.022925042541615,-496.56534903604717,0,0.06284400574952193,3.2833295086421352,3824.687389339662,0.9221959094726305,7200,shorter_spatial_range,-2.009746400232683,2.5,2.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.42398853260954183,0.5109251555378478
prior_tighter_original_like,zeroinflatednbinomial1,TRUE,tighter original-like spatial SD and broad intercept priors,934.3156400826119,45.216850465547395,934.0447186876747,38.38998950947517,-499.56022459817325,0,0.08337882323148993,3.6037234000602236,3865.576882353027,0.8866303650945703,7200,tighter_original_like,0,10,0.85,0.05,5000,0.5,0.2689414213699951,2.23606797749979,0.6931471805599453,2,0.6166436728115059,0.8209198155556123
