model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,delta_waic
final_current_mesh,zeroinflatednbinomial1,TRUE,current,933.819801209805,45.756083272648766,933.6708839582417,38.944825706144606,-496.40307177634025,0,0.06307295535600525,3.288487971821176,4140.435149560616,0.9362509444768671,7200,350,700,5000,0.24159197527183096
final_finer_mesh,zeroinflatednbinomial1,TRUE,finer,933.7742267683602,45.79333087054874,933.5423845297074,38.922184869486834,-496.3233126643499,0,0.06294845518005085,3.3003394821882304,4039.802705314124,0.9447483931201027,12977,244.99999999999997,489.99999999999994,3500,0.11309254673756186
final_coarser_mesh,zeroinflatednbinomial1,TRUE,coarser,933.6675995421585,45.86674381757496,933.4292919829699,38.97705917636808,-496.4581577037779,0,0.06267489843280707,3.2895585302899484,4223.93032395576,0.9253470067884332,3914,507.5,1015,7250,0
